release_cycle,group,cdrbe_branch,cdrbe_release_version
202105,H984216,release,6.0.3
202105,H592196,release,6.0.3
202105,H831111,release,6.0.3
202105,H328218,release,6.0.3
202105,H772763,release,8.0.4
202105,H171267,release,8.0.4
202105,H770494,release,8.0.4
202105,H834852,release,8.0.4
202105,H770635,release,8.0.4
202105,H642453,release,8.0.4
202105,H200272,release,8.0.4
202105,H178829,release,8.0.4
202106,H406239,release,7.0.5
202106,H636663,release,7.0.5
202107,H553173,release,7.0.5
